,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
281,5521231,115209,,,9863.356866724307,2.086654226204265
282,5549621,115295,,,9914.073944391645,2.0775292583043057
283,5579087,115390,,,9966.713233244964,2.068259555730176
284,5608339,115482,,,10018.970223591034,2.059112332546232
285,5635046,115579,,,10066.68072000743,2.0510746496124432
286,5660725,115612,,,10112.554754435734,2.042353232138993
287,5684645,115641,,,10155.286438049778,2.0342695102332686
288,5707906,115793,,,10196.840856634486,2.0286423777826754
289,5734967,115928,,,10245.183753385309,2.0214240116813227
290,5764066,116049,,,10297.16741816311,2.013318376298953
291,5791272,116135,,,10345.769348949216,2.0053452851118028
292,5816071,116254,,,10390.071314749575,1.998840798195208
293,5838323,116303,,,10429.82321373702,1.9920617615709169
294,5859405,116345,,,10467.484976025951,1.9856111670041583
295,5880134,116381,,,10504.516124422084,1.9792236027274208
296,5904664,116565,,,10548.337537425952,1.9741174095596292
297,5933034,116709,,,10599.018886260836,1.9671048573124643
298,5964760,116805,,,10655.695533181366,1.9582514635961883
299,5993444,116907,,,10706.937824685763,1.9505813352056012
300,6019976,116965,,,10754.335693818197,1.9429479453074232
301,6046799,116993,,,10802.253417462824,1.9347922760455571
302,6074040,117176,,,10850.917873705725,1.929127895107704
303,6102850,117334,,,10902.385256854575,1.922609928148324
304,6129372,117472,,,10949.765261570785,1.916542184093248
305,6155149,117586,,,10995.814367278106,1.91036805120396
306,6178293,117729,,,11037.159772192965,1.905526332273332
307,6197654,117771,,,11071.747068449296,1.9002512886327636
308,6218198,117803,,,11108.447725145235,1.8944877599587533
309,6237505,117955,,,11142.938553553948,1.8910606083682495
310,6258872,118106,,,11181.109451705335,1.8870173411438995
311,6281236,118229,,,11221.06143215452,1.882256931597539
312,6303792,118359,,,11261.356409395254,1.877584158868186
313,6326046,118490,,,11301.111881265944,1.873049927237329
314,6347616,118524,,,11339.645427066736,1.867220701441297
315,6374123,118551,,,11386.9986351586,1.859879390466736
316,6398633,118725,,,11430.784319330012,1.8554744427442549
317,6425056,118846,,,11477.987466325576,1.849727068526718
318,6453164,118977,,,11528.20076745532,1.843700237588879
319,6481363,119097,,,11578.57663477273,1.8375301614799235
320,6507849,119201,,,11625.892327590518,1.831649750939212
321,6532847,119238,,,11670.54979527379,1.8252072947675035
322,6561706,119261,,,11722.104714062154,1.8175303800566496
323,6590514,119402,,,11773.568524327762,1.8117251552762048
324,6617892,119513,,,11822.477723072963,1.805907379570413
325,6646963,119600,,,11874.411367485332,1.7993179742387613
326,6674820,119680,,,11924.176271767792,1.7930071522527948
327,6700702,119783,,,11970.412953845494,1.7876186704019967
328,6725105,119813,,,12014.007488763282,1.7815781314938577
